timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1772365102160,0.26205,-0.126,-9.658051,-0.0094875,-0.1034,-0.0955625,Sitting
1772365102160,0.19995001,-0.25695002,-9.63105,-0.0094875,-0.1034,-0.0955625,Sitting
1772365102161,0.19995001,-0.25695002,-9.63105,-0.008525,-0.0809875,-0.10835,Sitting
1772365102179,0.19800001,-0.36705002,-9.61695,-0.008525,-0.0809875,-0.10835,Sitting
1772365102180,0.18795002,-0.37905002,-9.708,-0.008525,-0.0809875,-0.10835,Sitting
1772365102180,0.18795002,-0.37905002,-9.708,0.0011,-0.100237496,-0.1040875,Sitting
1772365102200,0.18300001,-0.35805002,-9.739051,0.0011,-0.100237496,-0.1040875,Sitting
1772365102200,0.19800001,-0.3,-9.727051,0.0011,-0.100237496,-0.1040875,Sitting
1772365102200,0.19800001,-0.3,-9.727051,0.0042625,-0.110825,-0.102025,Sitting
1772365102220,0.291,-0.24495001,-9.715051,0.0042625,-0.110825,-0.102025,Sitting
1772365102220,0.34800002,-0.20895001,-9.68595,0.0042625,-0.110825,-0.102025,Sitting
1772365102220,0.34800002,-0.20895001,-9.68595,0.0022,-0.047025,-0.1254,Sitting
1772365102240,0.32895002,-0.21195,-9.727051,0.0022,-0.047025,-0.1254,Sitting
1772365102240,0.31500003,-0.22605,-9.729,0.0022,-0.047025,-0.1254,Sitting
1772365102240,0.31500003,-0.22605,-9.729,-0.0031625,-0.029975,-0.152075,Sitting
1772365102259,0.384,-0.27600002,-9.708,-0.0031625,-0.029975,-0.152075,Sitting
1772365102260,0.384,-0.34605002,-9.67905,-0.0031625,-0.029975,-0.152075,Sitting
1772365102260,0.384,-0.34605002,-9.67905,0.0042625,-0.060775,-0.18287499,Sitting
1772365102280,0.29295,-0.372,-9.67395,0.0042625,-0.060775,-0.18287499,Sitting
1772365102280,0.15405001,-0.35505003,-9.693001,0.0042625,-0.060775,-0.18287499,Sitting
1772365102280,0.15405001,-0.35505003,-9.693001,0.0138875,-0.062975,-0.201025,Sitting
1772365102299,0.10695001,-0.31905,-9.660001,0.0138875,-0.062975,-0.201025,Sitting
1772365102299,-0.012,-0.27600002,-9.744,0.0138875,-0.062975,-0.201025,Sitting
1772365102300,-0.012,-0.27600002,-9.744,0.0213125,-0.0320375,-0.1967625,Sitting
1772365102319,-0.14595,-0.279,-9.804001,0.0213125,-0.0320375,-0.1967625,Sitting
1772365102319,-0.216,-0.22605,-9.79605,0.0213125,-0.0320375,-0.1967625,Sitting
1772365102320,-0.216,-0.22605,-9.79605,0.009625,-0.0138875,-0.1606,Sitting
1772365102339,-0.13695,-0.16605,-9.753,0.009625,-0.0138875,-0.1606,Sitting
1772365102339,-0.15795001,-0.17805001,-9.693001,0.009625,-0.0138875,-0.1606,Sitting
1772365102340,-0.15795001,-0.17805001,-9.693001,0.008525,-0.01925,-0.1274625,Sitting
